medallion,hack_license,vendor_id,rate_code,store_and_fwd_flag,pickup_datetime,dropoff_datetime,passenger_count,trip_time_in_secs,trip_distance,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude
76942C3205E17D7E7FE5A9F709D16434,25BA06A87905667AA1FE5990E33F0E2E,VTS,1,0,2013-01-01 0:00:00,2013-01-01 0:05:00,3,300,0.61,-73.955925,40.781887,-73.963181,40.777832
B12F855DED439EC1F9F0B8784D3B672C,DB4DA70CBB3EB3B675344B3AD2963B97,VTS,1,0,2013-01-01 0:01:00,2013-01-01 0:28:00,4,1620,11.15,-73.975647,40.760738,-74.00399,40.651306
F7F40C52C1191D69DADEFCC314A8DA72,F3E21ADBC915209831649D71D9C00A31,VTS,1,0,2013-01-01 0:02:00,2013-01-01 0:09:00,1,420,1.53,-73.99395,40.756634,-73.999084,40.740143
2D5503BFA22EB258CAB62F31F8F98C87,BF6BEFF029254A2AC1DEFA22363A743F,VTS,1,0,2013-01-01 0:03:00,2013-01-01 0:08:00,1,300,2.14,-73.959091,40.780426,-73.940224,40.806355
9A807F33A9B6BEF955956159ADADCC22,D6D336F2177F317ACB99414BE1F4CA08,VTS,1,0,2013-01-01 0:04:00,2013-01-01 0:16:00,1,720,1.81,-74.005882,40.736137,-73.992706,40.723892
E661B8FDCFC87DBFC9BB6C5F9D393F69,0AEA08FFEF113163D017A09FCCD3BD55,VTS,1,0,2013-01-01 0:05:00,2013-01-01 0:13:00,1,480,2.09,-73.979202,40.727825,-73.971939,40.749805
39EE606D64DBF47084D6A4FF34F3E5E3,C68ACD205F9EB9C032500C019FA06C47,VTS,1,0,2013-01-01 0:06:00,2013-01-01 0:14:00,3,480,1.71,-73.973831,40.760452,-73.987648,40.74979
B4A5FB8FDDC10749450C3D1EA6CE9277,CC20CCD7D02B13B348E0030E65797F97,VTS,1,0,2013-01-01 0:07:00,2013-01-01 0:15:00,2,480,1.76,-73.970963,40.758411,-73.980934,40.770096
DEF3F77B2D5B1FE8FBDBAAC7CE8B4AC9,E05AAE397FFF9FEA058F4A033A997E41,VTS,1,0,2013-01-01 0:08:00,2013-01-01 0:12:00,1,240,0.76,-73.925438,40.706356,-73.926353,40.701107
DD77462F710A8422651F2390198665B0,C3A1F34BB17CBBF8C07A2D18ADB5DC24,VTS,1,0,2013-01-01 0:15:00,2013-01-01 0:18:00,3,180,1.15,-74.008728,40.719181,-74.006409,40.733028
