,ALink,SName,Lyric
18634,/bob-dylan/,Blowin' In The Wind,"How many roads must a man walk down
Before you call him a man?
How many seas must a white dove sail
Before she sleeps in the sand?
Yes n'how many times must the cannon balls fly
Before they're forever banned?

The answer my friend is blowing in the wind
The answer is blowing in the wind

Yes n'how many years can a mountain exist
Before its washed to the sea?
Yes n'how many years can some people exist
Before they're allowed to be free?
Yes n'how many times can a man turn his head
Pretend that he just doesn't see?

The answer my friend is blowing in the wind
the answer is blowing in the wind

Yes n'how many times must a man look up
Before he can see the sky?
Yes n'how many ears must one man have
Before he can hear people cry
Yes n'how many deaths will it take till he know
That too many people have died

The answer my friend is blowing in the wind
The answer is blowing in the wind"
18635,/bob-dylan/,Like A Rolling Stone,"Once upon a time you dressed so fine
Threw the bums a dime in your prime,
didn't you?
People call say:
'beware doll, you're bound to fall'
You thought they were all
kidding you
You used to laugh about
Everybody that was hanging out
Now you don't talk so loud
Now you don't seem so proud
About having to be scrounging your next meal

How does it feel,
how does it feel?
To be without a home,
Like a complete unknown,
like a rolling stone

Ahh you've gone to the finest schools,
alright Miss Lonely
But you know you only used to
get juiced in it
Nobody's ever taught you how to
live out on the street
And now you're gonna have to get used to it
You say you never compromise
With the mystery tramp,
but now you realize
He's not selling any alibis
As you stare into the vacuum of his eyes
And say 'do you want to make a deal?'

How does it feel,
how does it feel?
To be on your own,
with no direction home
A complete unknown,
like a rolling stone

Ah you never turned around to see
the frowns on the jugglers and the clowns
when they all did tricks for you
You never understood that it ain't no good
You shouldn't let other people
get your kicks for you
You used to ride on a chrome horse
with your diplomat
Who carried on his shoulder a Siamese cat
Ain't it hard when you discovered that
He really wasn't where it's at
After he took from you
everything he could steal

How does it feel,
how does it feel?
To have on your own,
with no direction home
Like a complete unknown,
like a rolling stone

Ahh princess on a steeple
and all the pretty people
They're all drinking,
thinking that they've got it made
Exchanging all precious gifts
But you better take your diamond ring,
you better pawn it babe
You used to be so amused
At Napoleon in rags
and the language that he used
Go to him, he calls you,
you can't refuse
When you ain't got nothing,
you got nothing to lose
You're invisible now,
you've got no secrets to conceal

How does it feel,
ah how does it feel?
To be on your own,
with no direction home
Like a complete unknown,
like a rolling stone"
18636,/bob-dylan/,Knockin' On Heaven's Door,"Mama, take this badge off of me
I can't use it anymore
It's getting dark, too dark to see
I feel like I'm knockin' on heaven's door

Knock, knock, knockin' on heaven's door
Knock, knock, knockin' on heaven's door
Knock, knock, knockin' on heaven's door
Knock, knock, knockin' on heaven's door

Mama, put that gun to the ground
Cause i can't shoot them anymore
There´s a long black cloud coming on down
I feel like I'm knockin' on heaven's door.

Knock, knock, knockin' on heaven's door
Knock, knock, knockin' on heaven's door
Knock, knock, knockin' on heaven's door
Knock, knock, knockin' on heaven's door

Ooh, ooh
Ooh, ooh"
18637,/bob-dylan/,Hurricane,"Pistol shots ring out in the ballroom night
Enter Patty Valentine from the upper hall.
She sees the bartender in a pool of blood,
Cries out, ""My God, they've killed them all!""
Here comes the story of the Hurricane,
The man the authorities came to blame
For somethin' that he never done.
Put in a prison cell, but one time he could-a been
The champion of the world.

Three bodies lyin' there does Patty see
And another man named Bello, movin' around mysteriously.
""I didn't do it,"" he says, and he throws up his hands
""I was only robbin' the register, I hope you understand.
I saw them leavin',"" he says, and he stops
""One of us had better call up the cops.""
And so Patty calls the cops
And they arrive on the scene with their red lights flashin'
In the hot New Jersey night.

Meanwhile, far away in another part of town
Rubin Carter and a couple of friends are drivin' around.
Number one contender for the middleweight crown
Had no idea what kinda shit was about to go down
When a cop pulled him over to the side of the road
Just like the time before and the time before that.
In Paterson that's just the way things go.
If you're black you might as well not show up on the street
'Less you wanna draw the heat.

Alfred Bello had a partner
and he had a rap for the cops.
Him and Arthur Dexter Bradley were just out prowlin' around
He said, ""I saw two men runnin' out,
they looked likemiddleweights
They jumped into a white car with out-of-state plates.""
And Miss Patty Valentine just nodded her head.
Cop said, ""Wait a minute, boys, this one's not dead""
So they took him to the infirmary
And though this man could hardly see
They told him that he could identify the guilty men.

Four in the mornin' and they haul Rubin in,
Take him to the hospital and they bring him upstairs.
The wounded man looks up through his one dyin' eye
Says, ""Wha'd you bring him in here for? He ain't the guy!""
Yes, here's the story of the Hurricane,
The man the authorities came to blame
For somethin' that he never done.
Put in a prison cell, but one time he could-a been
The champion of the world.

Four months later, the ghettos are in flame,
Rubin's in South America, fightin' for his name
While Arthur Dexter Bradley's still in the robbery game
And the cops are puttin' the screws to him,
lookin' for somebody to blame.
""Remember that murder that happened in a bar?""
""Remember you said you saw the getaway car?""
""You think you'd like to play ball with the law?""
""Think it might-a been that fighter
that you saw runnin' that night?""
""Don't forget that you are white.""

Arthur Dexter Bradley said, ""I'm really not sure.""
Cops said, ""A poor boy like you could use a break
We got you for the motel job
and we're talkin' to your friend Bello
Now you don't wanta have to go back to jail,
be a nice fellow.
You'll be doin' society a favor.
That sonofabitch is brave and gettin' braver.
We want to put his ass in stir
We want to pin this triple murder on him
He ain't no Gentleman Jim.""

Rubin could take a man out with just one punch
But he never did like to talk about it all that much.
It's my work, he'd say, and I do it for pay
And when it's over I'd just as soon go on my way
Up to some paradise
Where the trout streams flow and the air is nice
And ride a horse along a trail.
But then they took him to the jail house
Where they try to turn a man into a mouse.

All of Rubin's cards were marked in advance
The trial was a pig-circus, he never had a chance.
The judge made Rubin's witnesses
drunkards from the slums
To the white folks who watched
he was a revolutionary bum
And to the black folks he was just a crazy nigger.
No one doubted that he pulled the trigger.
And though they could not produce the gun,
The D.A. said he was the one who did the deed
And the all-white jury agreed.

Rubin Carter was falsely tried.
The crime was murder ""one,"" guess who testified?
Bello and Bradley and they both baldly lied
And the newspapers, they all went along for the ride.
How can the life of such a man
Be in the palm of some fool's hand?
To see him obviously framed
Couldn't help but make me feel ashamed to live in a land
Where justice is a game.

Now all the criminals in their coats and their ties
Are free to drink martinis and watch the sun rise
While Rubin sits like Buddha in a ten-foot cell
An innocent man in a living hell.
That's the story of the Hurricane,
But it won't be over till they clear his name
And give him back the time he's done.
Put in a prison cell, but one time he could-a been
The champion of the world."
18638,/bob-dylan/,Mr. Tambourine Man,"Hey! Mr. Tambourine Man, play a song for me,
I'm not sleepy and there is no place I'm going to.
Hey! Mr. Tambourine Man, play a song for me,
In the jingle jangle morning I'll come followin' you.

Though I know that evenin's empire has returned into sand,
Vanished from my hand,
Left me blindly here to stand but still not sleeping.
My weariness amazes me, I'm branded on my feet,
I have no one to meet
And the ancient empty street's too dead for dreaming.

Hey! Mr. Tambourine Man, play a song for me,
I'm not sleepy and there is no place I'm going to.
Hey! Mr. Tambourine Man, play a song for me,
In the jingle jangle morning I'll come followin' you.

Take me on a trip upon your magic swirlin' ship,
My senses have been stripped, my hands can't feel to grip,
My toes too numb to step, wait only for my boot heels
To be wanderin'.
I'm ready to go anywhere, I'm ready for to fade
Into my own parade, cast your dancing spell my way,
I promise to go under it.

Hey! Mr. Tambourine Man, play a song for me,
I'm not sleepy and there is no place I'm going to.
Hey! Mr. Tambourine Man, play a song for me,
In the jingle jangle morning I'll come followin' you.

Though you might hear laughin', spinnin',
swingin' madly across the sun,
It's not aimed at anyone, it's just escapin' on the run
And but for the sky there are no fences facin'.
And if you hear vague traces of skippin' reels of rhyme
To your tambourine in time, it's just a ragged clown behind,
I wouldn't pay it any mind, it's just a shadow you're
Seein' that he's chasing.

Hey! Mr. Tambourine Man, play a song for me,
I'm not sleepy and there is no place I'm going to.
Hey! Mr. Tambourine Man, play a song for me,
In the jingle jangle morning I'll come followin' you.

Then take me disappearin' through the smoke rings of my mind,
Down the foggy ruins of time, far past the frozen leaves,
The haunted, frightened trees, out to the windy beach,
Far from the twisted reach of crazy sorrow.
Yes, to dance beneath the diamond sky
with one hand waving free,
Silhouetted by the sea, circled by the circus sands,
With all memory and fate driven deep beneath the waves,
Let me forget about today until tomorrow.

Hey! Mr. Tambourine Man, play a song for me,
I'm not sleepy and there is no place I'm going to.
Hey! Mr. Tambourine Man, play a song for me,
In the jingle jangle morning I'll come followin' you."
18639,/bob-dylan/,"Lay, Lady, Lay","Lay, lady, lay, lay across my big brass bed
Lay, lady, lay, lay across my big brass bed
Whatever colors you have in your mind
I'll show them to you and you'll see them shine

Lay, lady, lay, lay across my big brass bed
Stay, lady, stay, stay with your man awhile
Until the break of day, let me see you make him smile
His clothes are dirty but his hands are clean
And you're the best thing that he's ever seen

Stay, lady, stay, stay with your man awhile
Why wait any longer for the world to begin
You can have your cake and eat it too
Why wait any longer for the one you love
When he's standing in front of you

Lay, lady, lay, lay across my big brass bed
Stay, lady, stay, stay while the night is still ahead
I long to see you in the morning light
I long to reach for you in the night
Stay, lady, stay, stay while the night is still ahead"
18640,/bob-dylan/,Masters Of War,"Come you masters of war
You that build the big guns
You that build the death planes
You that build all the bombs
You that hide behind walls
You that hide behind desks
I just don't want you to know
I can see through your masks

You that never done nothin'
But build to destroy
You play with my world
Like it's your little toy
You put a gun in my hand
And you hide from my eyes
And you turn and run farther
When the fast bullets fly

Like Judas of old
You lie and deceive
A world war can be won
You want me to believe
But I see through your eyes
And I see through your brain
Like I see through the water
That runs down my drain

You fasten all the triggers
For the others to fire
Then you set back and watch
When the death count gets higher
You hide in your mansion
As young people's blood
Flows out of their bodies
And is buried in the mud

You've thrown the worst fear
That can ever be hurled
Fear to bring children
Into the world
For threatening my baby
Unborn and unnamed
You ain't worth the blood
That runs in your veins

How much do I know
To talk out of turn
You might say that I'm young
You might say I'm unlearned
But there's one thing I know
Though I'm younger than you
Even Jesus would never
Forgive what you do

Let me ask you one question
Is your money that good
Will it buy you forgiveness
Do you think that it could
I think you will find
When your death takes its toll
All the money you made
Will never buy back your soul

And I hope that you die
And your death'll come soon
I will follow your casket
In the pale afternoon
And I'll watch while you're lowered
Down to your deathbed
And I'll stand o'er your grave
'Til I'm sure that you're dead"
18641,/bob-dylan/,Forever Young,"May God bless and keep you always,
May your wishes all come true,
May you always do for others
And let others do for you.
May you build a ladder to the stars
And climb on every rung,
May you stay forever young,
Forever young, forever young,
May you stay forever young.

May you grow up to be righteous,
May you grow up to be true,
May you always know the truth
And see the lights surrounding you.
May you always be courageous,
Stand upright and be strong,
May you stay forever young,
Forever young, forever young,
May you stay forever young.

May your hands always be busy,
May your feet always be swift,
May you have a strong foundation
When the winds of changes shift.
May your heart always be joyful,
May your song always be sung,
May you stay forever young,
Forever young, forever young,
May you stay forever young.
"
18642,/bob-dylan/,The Times They Are A-Changin',"Come gather 'round people
Wherever you roam
And admit that the waters
Around you have grown
And accept it that soon
You'll be drenched to the bone.
If your time to you
Is worth savin'
Then you better start swimmin'
Or you'll sink like a stone
For the times they are a-changin'.

Come writers and critics
Who prophesize with your pen
And keep your eyes wide
The chance won't come again
And don't speak too soon
For the wheel's still in spin
And there's no tellin' who
That it's namin'.
For the loser now
Will be later to win
For the times they are a-changin'.

Come senators, congressmen
Please heed the call
Don't stand in the doorway
Don't block up the hall
For he that gets hurt
Will be he who has stalled
There's a battle outside
And it is ragin'.
It'll soon shake your windows
And rattle your walls
For the times they are a-changin'.

Come mothers and fathers
Throughout the land
And don't criticize
What you can't understand
Your sons and your daughters
Are beyond your command
Your old road is
Rapidly agin(g)'.
Please get out of the new one
If you can't lend your hand
For the times they are a-changin'.

The line it is drawn
The curse it is cast
The slow one now
Will later be fast
As the present now
Will later be past
The order is
Rapidly fadin'.
And the first one now
Will later be last
For the times they are a-changin'."
18643,/bob-dylan/,All Along The Watchtower,"""There must be some way out of here,"" said the joker to the thief,
""There's too much confusion, I can't get no relief.
Businessmen, they drink my wine, plowmen dig my earth,
None of them along the line know what any of it is worth.""

""No reason to get excited,"" the thief, he kindly spoke,
""There are many here among us who feel that life is but a joke.
But you and I, we've been through that, and this is not our fate,
So let us not talk falsely now, the hour is getting late.""

All along the watchtower, princes kept the view
While all the women came and went, barefoot servants, too.

Outside in the distance a wildcat did growl,
Two riders were approaching, the wind began to howl.
"
