treat,age,hisp,black,married,educ,nodegr,re19,re20,re22
1,29,0,0,1,13.0,0,28221,28072,44686
0,48,0,1,0,8.0,1,38135,38674,43367
1,21,0,0,1,9.0,0,27193,27913,41550
0,50,0,0,0,12.0,1,41695,42696,38669
1,49,1,0,0,10.8,0,25159,24935,47043
1,39,1,0,0,9.8,0,53897,52991,45999
1,53,1,0,0,6.8,0,33671,33776,40684
1,22,0,1,1,7.0,0,41292,41845,38525
1,33,0,1,1,12.0,0,25047,25625,46074
0,19,0,1,1,12.0,1,33359,34453,39644
1,32,0,1,0,8.0,0,31054,30338,44641
1,26,0,0,1,10.0,1,49612,47892,41022
0,41,0,1,0,7.0,0,44381,44288,34757
1,64,1,0,0,10.8,0,57647,57373,49925
0,26,0,0,1,7.0,1,30361,31201,40689
1,30,0,0,1,13.0,0,26954,27686,43928
0,52,0,0,0,7.0,0,37743,38028,36009
1,42,1,1,1,12.8,0,39562,38155,45412
1,30,0,0,0,7.0,0,33176,33464,42735
1,35,0,0,1,12.0,0,38690,38490,43101
0,56,0,0,0,13.0,0,23189,25259,38425
0,22,0,1,1,13.0,0,44541,44129,40935
0,64,0,0,0,9.0,0,53899,54320,49317
0,48,0,1,0,12.0,0,56974,57627,35522
1,32,0,0,1,13.0,0,32742,31556,46707
1,60,1,1,0,10.8,0,53438,51572,47481
1,54,0,0,0,13.0,0,20323,21022,44812
0,49,0,0,0,11.0,0,36016,36920,42685
1,40,0,1,0,13.0,0,27993,28063,45397
1,54,1,0,0,6.8,0,45308,44994,39766
0,33,0,1,1,13.0,0,36293,36036,43914
0,35,0,0,0,8.0,0,28485,26835,34666
1,24,0,0,1,10.0,0,29222,27806,41412
1,62,0,0,0,13.0,0,57811,57880,47848
0,60,1,0,0,10.8,0,41690,42629,44942
0,29,0,0,1,11.0,0,48736,48656,40052
1,58,0,0,1,9.0,0,28080,26584,45834
1,26,0,1,0,8.0,0,24334,23528,36644
1,31,0,0,1,8.0,0,48629,47657,45743
1,29,0,1,1,8.0,1,39052,38650,38484
0,60,0,0,1,8.0,0,36269,36243,37177
0,34,0,0,1,9.0,0,24163,22825,37480
1,42,0,0,1,10.0,0,35819,36138,50039
0,59,0,0,0,12.0,0,54101,54689,45569
0,49,0,0,1,8.0,0,52714,53563,44689
0,52,0,0,0,9.0,0,55217,54055,39452
0,40,0,0,1,12.0,0,38849,38506,44395
0,57,0,0,1,13.0,0,26850,27418,39643
0,45,0,1,1,7.0,0,35445,35564,42743
0,50,0,0,0,12.0,0,45362,44053,37469
0,34,0,0,1,11.0,1,39829,39903,41132
1,29,0,0,1,7.0,0,30818,31108,46952
0,59,0,0,0,12.0,0,42116,42177,49401
1,50,0,0,0,10.0,0,45727,44209,38242
